schema,uuid,id,title,abstract,keyword,link,responsibleParty,metadatacreationdate,geoBox,image,LegalConstraints,temporalExtent,parentId,datasetcreationdate,Constraints,SecurityConstraints
 iso19139,272b817f,700,ATMO/Lake Superior modeled water surface temperatures (Celsius),,surface_temperature surface_temperature double surface_temperature(time) GLOS,Use constraints Other restrictions: Limitation not listed  Other constraints LICENSE  LICENSE,UnknownUnknown,###http://tds.glos.us/thredds/glerl/ATMO.xml######http://tds.glos.us/thredds/glerl/ATMO.html?dataset=272b817f######http://tds.glos.us/thredds/glerl/ATMO.xml######http://tds.glos.us/thredds/glerl/ATMO.html?dataset=272b817f######http://tds.glos.us/thredds/dodsC/ATMO/272b817f.nc,2015-08-20,,,,,,,
 iso19139,18956c96,701,ATMO/Georgian Bay modeled water surface temperatures (Celsius),,surface_temperature surface_temperature double surface_temperature(time) GLOS,Use constraints Other restrictions: Limitation not listed  Other constraints LICENSE  LICENSE,UnknownUnknown,###http://tds.glos.us/thredds/glerl/ATMO.xml######http://tds.glos.us/thredds/glerl/ATMO.html?dataset=18956c96######http://tds.glos.us/thredds/glerl/ATMO.xml######http://tds.glos.us/thredds/glerl/ATMO.html?dataset=18956c96######http://tds.glos.us/thredds/dodsC/ATMO/18956c96.nc,2015-08-20,,,,,,,
 iso19139,e45fed6e,698,ATMO/Lake Michigan modeled water surface temperatures (Celsius),,surface_temperature surface_temperature double surface_temperature(time) GLOS,Use constraints Other restrictions: Limitation not listed  Other constraints LICENSE  LICENSE,UnknownUnknown,###http://tds.glos.us/thredds/glerl/ATMO.xml######http://tds.glos.us/thredds/glerl/ATMO.html?dataset=e45fed6e######http://tds.glos.us/thredds/glerl/ATMO.xml######http://tds.glos.us/thredds/glerl/ATMO.html?dataset=e45fed6e######http://tds.glos.us/thredds/dodsC/ATMO/e45fed6e.nc,2015-08-20,,,,,,,
 iso19139,1032aed0,699,ATMO/Lake Huron (without Georgian Bay) modeled water surface temperatures (Celsius),,surface_temperature surface_temperature double surface_temperature(time) GLOS,Use constraints Other restrictions: Limitation not listed  Other constraints LICENSE  LICENSE,UnknownUnknown,###http://tds.glos.us/thredds/glerl/ATMO.xml######http://tds.glos.us/thredds/glerl/ATMO.html?dataset=1032aed0######http://tds.glos.us/thredds/glerl/ATMO.xml######http://tds.glos.us/thredds/glerl/ATMO.html?dataset=1032aed0######http://tds.glos.us/thredds/dodsC/ATMO/1032aed0.nc,2015-08-20,,,,,,,
 iso19139,328ecc9f,696,ATMO/Lake St. Clair modeled water surface temperatures (Celsius),,surface_temperature surface_temperature double surface_temperature(time) GLOS,Use constraints Other restrictions: Limitation not listed  Other constraints LICENSE  LICENSE,UnknownUnknown,###http://tds.glos.us/thredds/glerl/ATMO.xml######http://tds.glos.us/thredds/glerl/ATMO.html?dataset=328ecc9f######http://tds.glos.us/thredds/glerl/ATMO.xml######http://tds.glos.us/thredds/glerl/ATMO.html?dataset=328ecc9f######http://tds.glos.us/thredds/dodsC/ATMO/328ecc9f.nc,2015-08-20,,,,,,,
 iso19139,45ea7149,697,ATMO/Lake Huron (including Georgian Bay) modeled water surface temperatures (Celsius),,surface_temperature surface_temperature double surface_temperature(time) GLOS,Use constraints Other restrictions: Limitation not listed  Other constraints LICENSE  LICENSE,UnknownUnknown,###http://tds.glos.us/thredds/glerl/ATMO.xml######http://tds.glos.us/thredds/glerl/ATMO.html?dataset=45ea7149######http://tds.glos.us/thredds/glerl/ATMO.xml######http://tds.glos.us/thredds/glerl/ATMO.html?dataset=45ea7149######http://tds.glos.us/thredds/dodsC/ATMO/45ea7149.nc,2015-08-20,,,,,,,
 iso19139,bc14fad4,694,AIRTEMPS/Lake Erie Mean Monthly Overlake Minimum Daily Air Temperature (Celsius),,air_temperature air_temperature double air_temperature(time) GLOS,Use constraints Other restrictions: Limitation not listed  Other constraints LICENSE  LICENSE,UnknownUnknown,###http://tds.glos.us/thredds/glerl/AIRTEMPS.xml######http://tds.glos.us/thredds/glerl/AIRTEMPS.html?dataset=bc14fad4######http://tds.glos.us/thredds/glerl/AIRTEMPS.xml######http://tds.glos.us/thredds/glerl/AIRTEMPS.html?dataset=bc14fad4######http://tds.glos.us/thredds/dodsC/AIRTEMPS/bc14fad4.nc,2015-08-20,,,,,,,
 iso19139,554e445a,695,AIRTEMPS/Georgian Bay Mean Monthly Overlake Maximum Daily Air Temperature (Celsius),,air_temperature air_temperature double air_temperature(time) GLOS,Use constraints Other restrictions: Limitation not listed  Other constraints LICENSE  LICENSE,UnknownUnknown,###http://tds.glos.us/thredds/glerl/AIRTEMPS.xml######http://tds.glos.us/thredds/glerl/AIRTEMPS.html?dataset=554e445a######http://tds.glos.us/thredds/glerl/AIRTEMPS.xml######http://tds.glos.us/thredds/glerl/AIRTEMPS.html?dataset=554e445a######http://tds.glos.us/thredds/dodsC/AIRTEMPS/554e445a.nc,2015-08-20,,,,,,,
 iso19139,5480d152,692,AIRTEMPS/Lake Michigan-Huron Mean Monthly Overlake Daily Air Temperature [(max+min)/2] (Celsius),,air_temperature air_temperature double air_temperature(time) GLOS,Use constraints Other restrictions: Limitation not listed  Other constraints LICENSE  LICENSE,UnknownUnknown,###http://tds.glos.us/thredds/glerl/AIRTEMPS.xml######http://tds.glos.us/thredds/glerl/AIRTEMPS.html?dataset=5480d152######http://tds.glos.us/thredds/glerl/AIRTEMPS.xml######http://tds.glos.us/thredds/glerl/AIRTEMPS.html?dataset=5480d152######http://tds.glos.us/thredds/dodsC/AIRTEMPS/5480d152.nc,2015-08-20,,,,,,,
 iso19139,03b73e32,693,AIRTEMPS/Lake Huron Mean Monthly Overlake Daily Air Temperature [(max+min)/2] (Celsius),,air_temperature air_temperature double air_temperature(time) GLOS,Use constraints Other restrictions: Limitation not listed  Other constraints LICENSE  LICENSE,UnknownUnknown,###http://tds.glos.us/thredds/glerl/AIRTEMPS.xml######http://tds.glos.us/thredds/glerl/AIRTEMPS.html?dataset=03b73e32######http://tds.glos.us/thredds/glerl/AIRTEMPS.xml######http://tds.glos.us/thredds/glerl/AIRTEMPS.html?dataset=03b73e32######http://tds.glos.us/thredds/dodsC/AIRTEMPS/03b73e32.nc,2015-08-20,,,,,,,
 iso19139,8587c71d,713,ATMO/ Lake Ontario,,wind_speed wind_speed double wind_speed(time) GLOS,Use constraints Other restrictions: Limitation not listed  Other constraints LICENSE  LICENSE,UnknownUnknown,###http://tds.glos.us/thredds/glerl/ATMO.xml######http://tds.glos.us/thredds/glerl/ATMO.html?dataset=8587c71d######http://tds.glos.us/thredds/glerl/ATMO.xml######http://tds.glos.us/thredds/glerl/ATMO.html?dataset=8587c71d######http://tds.glos.us/thredds/dodsC/ATMO/8587c71d.nc,2015-08-20,,,,,,,
