"schema","uuid","id","title","datasetcreationdate","abstract","keyword","geoBox","temporalExtent","image","responsibleParty","link","metadatacreationdate","LegalConstraints"
"iso19139","d53be051-b4df-454a-a374-b37ba39b23e3","288","Milwaukee Buoy ATW20 (45013)","2012-07-26","University of Wisconsin in-situ buoy near Atwater Park, WI.","atmospheric pressure###air temperature###dew point temperature###significant wave height###wave period###water temperature###wind speed/direction###air pressure###dew point###significant wave period###water temperature - surface###wind speed###wind gust###wind from direction###thermistor###NDBC ID 45013###ATW20###GLOS###buoys###observations###atmospheric pressure###air temperature###dew point temperature###significant wave height###wave period###water temperature###wind speed/direction###Lake Michigan###Atwater Park###WI###Great Lakes###UWM###Longitude -87.850###Latitude 43.100###Lake Michigan###Atwater Park, WI###Great Lakes###observationsBuoys###climatology###temperature###WindDirection###Significant Wave Period###WindSpeed###SignificantWaveHeight###AirTemperature###Air Pressure###WaterTemperature###Relative Humidity###WaterTemperature @   3 ft###WaterTemperature @   7 ft###WaterTemperature @  10 ft###WaterTemperature @  13 ft###WaterTemperature @  16 ft###WaterTemperature @  20 ft###WaterTemperature @  23 ft###WaterTemperature @  26 ft###WaterTemperature @  30 ft###WaterTemperature @  33 ft###WaterTemperature @  36 ft###WaterTemperature @  39 ft###WaterTemperature @  43 ft###WaterTemperature @  46 ft###WaterTemperature @  49 ft###WaterTemperature @  52 ft###WaterTemperature @  56 ft###WaterTemperature @  59 ft###WaterTemperature @  62 ft###Wind Gust","-87.85###-87.85###43.1###43.1","2012-07-26","http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=d53be051-b4df-454a-a374-b37ba39b23e3&fname=45013_s.png###http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=d53be051-b4df-454a-a374-b37ba39b23e3&fname=45013.png","Jeff HoughtonUniversity of Wisconsin-Milwaukee715-321-0352600 East Greenfield Ave.MilwaukeeWI53204houghtoj@uwm.edu###Jeff HoughtonUniversity of Wisconsin-Milwaukee715-321-0352MilwaukeeWIUSAjoughtoj@uwm.edu","###http://www.ndbc.noaa.gov/station_page.php?station=45013######http://data.glos.us/portal/getObsByPlatform.php?provider=glos&platform=ATW20######http://data.glos.us/metadata?uuid=d53be051-b4df-454a-a374-b37ba39b23e3","2018-10-09T16:37:08","",
"iso19139","b01bae39-002d-4412-9727-de0ce84cb142","177","Grand Traverse Bay South Buoy (45020)","2009-08-04","The Great Lakes Water Studies Institute at Northwestern Michigan College (NMC) has placed a solar-powered monitoring buoy in West Bay that provides real-time data on wind speed and direction, air and water temperature, wave height and other information, along with recent images and video. With funds provided by Northwestern Michigan College, the buoy was recently rebuilt by LimnoTech in 2016 with state of the art electronics and a new webcam.","air temperature###significant wave height###wave period###water temperature###wind speed/direction###significant wave period###water temperature - surface###wind gust###wind speed###wind from direction###GLOS###NDBC ID 45020###air temperature###significant wave height###wave period###water temperature###wind speed/wind direction###Lake Michigan###Grand Traverse Bay###MI###Great Lakes###Longitude -85.604###Latitude 44.789###Lake Michigan###Grand Traverse Bay, MI###Great Lakes###observationsBuoys###climatology###temperature###WindDirection###Significant Wave Period###WindSpeed###SignificantWaveHeight###AirTemperature###Dew Point###Wind Gust###Solar Radiation###WaterTemperature###battery_voltage###significant_wave_from_direction###WaterTemperature @  16 ft###WaterTemperature @  33 ft###WaterTemperature @  49 ft###WaterTemperature @  62 ft###WaterTemperature @  79 ft###WaterTemperature @  95 ft###WaterTemperature @ 112 ft###WaterTemperature @ 125 ft","-85.604###-85.604###44.789###44.789","2009-08-04","http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=b01bae39-002d-4412-9727-de0ce84cb142&fname=45020_mini_sm_s.png###http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=b01bae39-002d-4412-9727-de0ce84cb142&fname=45020_mini.png","Hans W. Van SumerenNorthwestern Michigan College Great Lakes Water Studies InstituteDirector(231) 995-1793hvansumeren@nmc.edu###Kathy KochLimnoTech / GLOSData Curator734-332-1200Ann ArborMIUSAkkoch@limno.com","###http://glbuoys.glos.us/45020######http://www.ndbc.noaa.gov/station_page.php?station=45020######http://data.glos.us/portal/getObsByPlatform.php?provider=glos&platform=Grand+Traverse+Bay+Observing+System+Station+1######http://data.glos.us/metadata?uuid=b01bae39-002d-4412-9727-de0ce84cb142","2018-10-09T16:40:01","",
"iso19139","df2f09c6-d24c-4c2b-9f37-1300b84e1999","152","North Entry MTU buoy (45023)","2010-07-08","GLOS in-situ buoy in Lake Superior North Keweenaw Peninsula, operated by Michigan Tech - Great Lakes Research Laboratory.","atmospheric pressure###air temperature###dew point temperature###significant wave height###wave period###wind speed/wind direction###air pressure###dew point###significant wave period###water temperature - surface###wind speed###wind gust###wind from direction###thermistor###NDBC ID 45023###GLOS###MTU Buoy###buoys###waves###observations###atmospheric pressure###air temperature###dew point temperature###significant wave height###wave period###wind speed/wind direction###Lake Superior###Keewenaw Waterway###MI###Portage Canal###Great Lakes###Longitude -88.607###Latitude 47.270###Lake Superior###Keewenaw Waterway, MI###Portage Canal###Great Lakes###observationsBuoys###climatology###temperature###Wind Gust###WindDirection###Air Pressure###AirTemperature###WaterTemperature###SignificantWaveHeight###significant_wave_from_direction###WindSpeed###Relative Humidity###eastward_current###northward_current###Significant Wave Period###Dew Point###battery_voltage###Solar Radiation###WaterTemperature @   3 ft###WaterTemperature @  10 ft###WaterTemperature @  16 ft###WaterTemperature @  22 ft###WaterTemperature @  29 ft###WaterTemperature @  35 ft###WaterTemperature @  41 ft###WaterTemperature @  47 ft###WaterTemperature @  54 ft","-88.607###-88.607###47.27###47.27","2010-07-08","http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=df2f09c6-d24c-4c2b-9f37-1300b84e1999&fname=45023_WaterWeatherBuoy_sm_s.png###http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=df2f09c6-d24c-4c2b-9f37-1300b84e1999&fname=45023_WaterWeatherBuoy.png","Guy MeadowsMichigan Tech UniversityUSgmeadows@mtu.eduhttp://uglos.mtu.edu/station_page.php?station=45023WWW:LINK-1.0-http--linkUGLOS - Station 45023###Kathy KochLimnoTech / GLOSData Curator734-332-1200Ann ArborMIUSAkkoch@limno.com","###http://glbuoys.glos.us/45023######http://www.ndbc.noaa.gov/station_page.php?station=45023######http://data.glos.us/portal/getObsByPlatform.php?provider=glos&platform=MTU+Buoy######http://data.glos.us/metadata?uuid=df2f09c6-d24c-4c2b-9f37-1300b84e1999","2018-10-09T16:42:38","",
"iso19139","c0ce2e38-070d-4f86-a12d-81d52c226a1f","286","Ludington buoy (45024) [out of water for the season]","2011-09-20","GLOS in-situ buoy in Lake Michigan near Ludington operated by the University of Michigan CIGLR.","air temperature###significant wave height###wave period###water temperature###wind speed/wind direction###significant wave period###water temperature - surface###wind speed###wind from direction###waves###buoys###observations###NDBC ID 45024###GLOS###air temperature###significant wave height###wave period###water temperature###wind speed/wind direction###Lake Michigan###Ludington###MI###Great Lakes###Longitude -86.559###Latitude 43.977###Lake Michigan###Ludington, MI###Great Lakes###observationsBuoys###climatology###temperature###SignificantWaveHeight###significant_wave_from_direction###WindDirection###WaterTemperature###Dew Point###AirTemperature###Air Pressure###Significant Wave Period###Wind Gust###WindSpeed###battery_voltage###Solar Radiation###WaterTemperature @  10 ft###WaterTemperature @  19 ft###WaterTemperature @  28 ft###WaterTemperature @  36 ft###WaterTemperature @  45 ft###WaterTemperature @  54 ft###WaterTemperature @  63 ft###WaterTemperature @  72 ft","-86.559###-86.559###43.977###43.977","2011-09-20","http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=c0ce2e38-070d-4f86-a12d-81d52c226a1f&fname=45024_s.png###http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=c0ce2e38-070d-4f86-a12d-81d52c226a1f&fname=45024.png","Russ MillerUniversity of Michigan - Cooperative Institute for Great Lakes Research (CIGLR)(734) 763-3010G110 Dana Building 440 Church StreetAnn ArborMI48109-1041rusmil@umich.eduhttps://ciglr.seas.umich.edu###Kathy KochLimnoTech / GLOSData Curator734-332-1200Ann ArborMIUSAkkoch@limno.com","###http://glbuoys.glos.us/45024######http://www.ndbc.noaa.gov/station_page.php?station=45024######http://data.glos.us/portal/getObsByPlatform.php?provider=glos&platform=U-GLOS+Station+45024%2C+Ludington######http://data.glos.us/metadata?uuid=c0ce2e38-070d-4f86-a12d-81d52c226a1f","2018-10-09T16:43:27","",
"iso19139","32231fdb-6b35-4198-9d7e-e854058fba02","12","Little Traverse Bay buoy (45022)","2014-05-01","GLOS in-situ buoy in Lake Michigan (Little Traverse Bay), operated by University of Michigan - Cooperative Institute for Great Lakes Research (CIGLR).","atmospheric pressure###air temperature###dew point temperature###significant wave height###wave period###water temperature###wind speed/wind direction###air pressure###dew point###significant wave period###water temperature - surface###wind speed###wind gust###wind from direction###thermistor###NDBC ID 45022###GLOS###atmospheric pressure###air temperature###dew point temperature###significant wave height###wave period###water temperature###wind speed/wind direction###Lake Michigan###Little Traverse Bay###MI###Great Lakes###CIGLR###Longitude -85.088###Latitude 45.403###Lake Michigan###Little Traverse Bay, MI###Great Lakes###observationsBuoys###climatology###temperature###WindDirection###Significant Wave Period###WindSpeed###SignificantWaveHeight###AirTemperature###Dew Point###Wind Gust###Air Pressure###Solar Radiation###significant_wave_from_direction###battery_voltage###WaterTemperature###WaterTemperature @   0 ft","-85.088###-85.088###45.403###45.403","2014-05-01","http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=32231fdb-6b35-4198-9d7e-e854058fba02&fname=45022_weatherbouy_sm_s.png###http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=32231fdb-6b35-4198-9d7e-e854058fba02&fname=45022_weatherbouy.png","Russ MillerUniversity of Michigan - Cooperative Institute for Great Lakes Research (CIGLR)(734) 763-3010G110 Dana Building 440 Church StreetAnn ArborMI48109-1041USrusmil@umich.eduhttps://ciglr.seas.umich.edu/WWW:LINK-1.0-http--link###Kathy KochLimnoTech / GLOSData Curator734-332-1200Ann ArborMIUSAkkoch@limno.com","###http://glbuoys.glos.us/45022######http://www.ndbc.noaa.gov/station_page.php?station=45022######http://data.glos.us/portal/getObsByPlatform.php?provider=glos&platform=U-GLOS+Station+004%2C+Little+Traverse+Bay######http://data.glos.us/metadata?uuid=32231fdb-6b35-4198-9d7e-e854058fba02","2018-10-09T16:41:56","",
"iso19139","7dbd3aff-6a90-4237-9394-e36e17f1ddfa","292","Cleveland RECON buoy (45164)","2012-07-06","In-situ buoy in Lake Erie near Cleveland. This buoy is funded through a grant administered by Great Lakes Observing System and the NOAA Great Lakes Environmental Research Laboratory through the USEPA Great Lakes Restorative Initiative. LimnoTech deploys and maintains this station using the grant dollars. This buoy is located approximately 15 miles from shore in 75 feet of water.","sea surface height###wave speed/direction###significant wave height###wave height###wave period###atmospheric pressure###air temperature###dew point temperature###wind speed/wind direction###dissolved gasses###water temperature###conductivity###water quality###air pressure###dew point###water temperature - surface###wind speed###wind gust###wind from direction###thermistor###NDBC ID 45164###GLERL###dissolved oxygen###dissolved oxygen saturation###HABs###Harmful Algal Blooms###waves###buoys###observations###sea surface height###wave speed/direction###significant wave height###wave height###wave period###atmospheric pressure###air temperature###dew point temperature###wind speed/wind direction###dissolved gasses###water temperature###conductivity###water quality###Lake Erie###Cleveland###OH###Great Lakes###Longitude -81.694###Latitude 41.732###Lake Erie###Cleveland, OH###Great Lakes###observationsBuoys###climatology###habs###water_quality###temperature###WindDirection###WaterTemperature###AirTemperature###dissolved_oxygen_saturation###WindSpeed###dissolved_oxygen###water_conductivity###WaterTemperature @   3 ft###WaterTemperature @   7 ft###WaterTemperature @  13 ft###WaterTemperature @  20 ft###WaterTemperature @  26 ft###WaterTemperature @  33 ft###WaterTemperature @  39 ft###WaterTemperature @  46 ft###WaterTemperature @  52 ft###WaterTemperature @  59 ft###WaterTemperature @  66 ft###Significant Wave Height###Significant Wave Period###Wind Gust","-81.69400000000002###-81.69400000000002###41.732###41.732","2012-07-06","http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=7dbd3aff-6a90-4237-9394-e36e17f1ddfa&fname=45164_sm_s.png###http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=7dbd3aff-6a90-4237-9394-e36e17f1ddfa&fname=45164.png","Ed VerhammeLimnoTech734-332-1200501 Avis Dr.Ann ArborMI48108United Stateseverhamme@limno.com###Steven RubergNOAA-Great Lakes Research Laboratory734-741-22714840 South State Rd.Ann ArborMI48108steve.ruberg@noaa.govhttp://www.glerl.noaa.gov/res/recon/station-clv.html###Kathy KochLimnoTech / GLOSData Curator734-332-1200Ann ArborMIUSAkkoch@limno.com","###http://glbuoys.glos.us/45164######http://www.ndbc.noaa.gov/station_page.php?station=45164######http://data.glos.us/portal/getObsByPlatform.php?provider=glos&platform=RECON+Erie-Cleveland%28CLV%29######http://data.glos.us/metadata?uuid=7dbd3aff-6a90-4237-9394-e36e17f1ddfa","2018-10-09T16:54:39","",
"iso19139","305fd7a1-400b-4a31-8e5c-061f0b0e2046","282","Toledo Water Intake Crib buoy (45165)","2013-05-13","GLOS in-situ buoy in Lake Erie. Owned and maintained by LimnoTech. This buoy is sponsored by the City of Toledo Department of Public Utilities, Division of Water Treatment to monitor conditions near the water intake for the Collins Park Water Treatment Plant’s intake crib located 3 miles offshore of Oregon, OH.","sea surface height###wave speed/direction###significant wave height###wave height###wave period###air temperature###atmospheric pressure###dew point temperature###wind speed/wind direction###pH###water temperature###conductivity###chlorophyll###turbidity###significant wave period###water temperature - surface###wind speed###wind from direction###air pressure at sea level###sea surface wave significant height###sea surface wind wave period###wind speed of gust###GLOS###NDBC ID 45165###HABs###Harmful Algal Blooms###sea surface height###wave speed/direction###significant wave height###wave height###wave period###air temperature###atmospheric pressure###dew point temperature###wind speed/wind direction###pH###water temperature###conductivity###chlorophyll###turbidity###Lake Erie###Toledo###OH###Monroe###MI###Great Lakes###45165###Longitude -83.261###Latitude 41.702###Lake Erie###Toledo, OH###Monroe, MI###habs###observationsBuoys###climatology###temperature###Wind Gust###WindDirection###Air Pressure###AirTemperature###WaterTemperature###Significant Wave Period###WindSpeed###SignificantWaveHeight###Dew Point###ysi_turbidity###water_conductivity###ysi_chlorophyll###ysi_blue_green_algae###ph###significant_wave_from_direction###eastward_current###northward_current###battery_voltage###Solar Radiation###max_wave_height###dissolved_oxygen_saturation###dissolved_oxygen","-83.261###-83.261###41.702###41.702","2013-05-13","http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=305fd7a1-400b-4a31-8e5c-061f0b0e2046&fname=45165_mini_sm_s.png###http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=305fd7a1-400b-4a31-8e5c-061f0b0e2046&fname=45165_mini.png","Ed VerhammeLimnoTecheverhamme@limno.com###Andrew McClureCity of Toledo, Dept of Public UtilitiesPlant AdministratorUSAAndrew.McClure@toledo.oh.gov###Kathy KochLimnoTech / GLOSData Curator734-332-1200Ann ArborMIUSAkkoch@limno.com","###http://glbuoys.glos.us/45165######http://www.ndbc.noaa.gov/station_page.php?station=45165######http://data.glos.us/portal/getObsByPlatform.php?provider=glos&platform=45165+-+Oregon%2C+OH######http://data.glos.us/metadata?uuid=305fd7a1-400b-4a31-8e5c-061f0b0e2046","2018-10-09T16:55:49","",
"iso19139","429b3153-0c64-4a09-842d-790ab18a91b1","291","Saginaw Bay RECON buoy SBB (45163) [out of water for the season]","2012-05-14","In-situ buoy in Lake Huron, Saginaw Bay, operated by NOAA, Great Lakes Environmental Research Laboratory (GLERL).","atmospheric pressure###air temperature###dew point temperature###significant wave height###wave period###water temperature###wind speed/wind direction###air pressure###dew point###significant wave period###water temperature - surface###wind speed###wind gust###wind from direction###thermistor###NDBC ID 45163###GLERL###waves###buoys###observations###atmospheric pressure###air temperature###dew point temperature###significant wave height###wave period###water temperature###wind speed/wind direction###Lake Huron###Saginaw Bay###MI###Great Lakes###Longitude -83.595###Latitude 43.986###Lake Huron###Saginaw Bay, MI###Great Lakes###observationsBuoys###climatology###temperature###WindDirection###Significant Wave Period###WindSpeed###SignificantWaveHeight###ysi_chlorophyll###ysi_blue_green_algae###AirTemperature###Wind Gust###WaterTemperature###water_conductivity###ph###dissolved_oxygen_saturation###dissolved_oxygen###max_wave_height###significant_wave_from_direction###WaterTemperature @   4 ft###ysi_turbidity","-83.595###-83.595###43.986###43.986","2012-05-14","http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=429b3153-0c64-4a09-842d-790ab18a91b1&fname=photo-sbb_sm_s.png###http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=429b3153-0c64-4a09-842d-790ab18a91b1&fname=photo-sbb.png","Steven RubergNOAA-Great Lakes Research Laboratory734-741-22714840 South State RdAnn ArborMI48108steve.ruberg@noaa.govhttp://www.glerl.noaa.gov/res/recon/station-sbb.html###Kathy KochLimnoTech / GLOSData Curator734-332-1200Ann ArborMIUSAkkoch@limno.com","###http://glbuoys.glos.us/45163######http://www.ndbc.noaa.gov/station_page.php?station=45163######http://data.glos.us/portal/getObsByPlatform.php?provider=glos&platform=RECON+Huron-Saginaw+Bay+Buoy%28SBB%29######http://data.glos.us/metadata?uuid=429b3153-0c64-4a09-842d-790ab18a91b1","2018-10-09T16:53:17","",
"iso19139","1a7b45b7-562d-43a1-a95e-d536a0340c39","289","Muskegon RECON buoy (45161)","2011-10-05","In-situ buoy in Lake Michigan, Muskegon, operated by NOAA, Great Lakes Environmental Research Laboratory (GLERL).","atmospheric pressure###air temperature###dew point temperature###significant wave height###wave period###water temperature###wind speed/wind direction###air pressure###dew point###significant wave period###water temperature - surface###wind speed###wind gust###wind from direction###thermistor###NDBC ID 45161###GLERL###waves###buoys###observations###atmospheric pressure###air temperature###dew point temperature###significant wave height###wave period###water temperature###wind speed/wind direction###Lake Michigan###Muskegon###MI###Great Lakes###Longitude -86.367###Latitude 43.183###Lake Michigan###Muskegon, MI###Great Lakes###observationsBuoys###climatology###temperature###WindDirection###Significant Wave Period###WindSpeed###SignificantWaveHeight###ysi_chlorophyll###ysi_blue_green_algae###AirTemperature###Wind Gust###Air Pressure###WaterTemperature###ph###water_conductivity###dissolved_oxygen_saturation###dissolved_oxygen###max_wave_height###significant_wave_from_direction###ysi_turbidity###WaterTemperature @   4 ft","-86.367###-86.367###43.18300000000001###43.18300000000001","2011-10-05","http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=1a7b45b7-562d-43a1-a95e-d536a0340c39&fname=45161_sm_s.png###http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=1a7b45b7-562d-43a1-a95e-d536a0340c39&fname=45161.png","Steven RubergNOAA-Great Lakes Environmental Research Laboratory2205 Commonwealth BlvdAnn ArborMI48105steve.ruberg@noaa.govhttp://www.glerl.noaa.gov/res/recon/station-mkg.html###Kathy KochLimnoTech / GLOSData Curator734-332-1200Ann ArborMIUSAkkoch@limno.com","###http://www.glerl.noaa.gov/res/recon/station-mkg.html######http://glbuoys.glos.us/45161######http://www.ndbc.noaa.gov/station_page.php?station=45161######http://data.glos.us/portal/getObsByPlatform.php?provider=glos&platform=RECON+Michigan-Muskegon######http://data.glos.us/metadata?uuid=1a7b45b7-562d-43a1-a95e-d536a0340c39","2018-10-09T16:50:42","",
"iso19139","29e56631-24dd-4407-abb5-7100f1304337","44","LLO1-Duluth buoy (45027)","2011-05-23","In-situ buoy in Lake Superior north of Duluth, operated by the University of Minnesota-Duluth. The University of Minnesota, Duluth, with funding from the Great Lakes Observing System and the National Science Foundation, maintains two meteorological buoys. This one is roughly 10 miles northeast of Duluth, about a mile offshore of the McQuade Harbor.","atmospheric pressure###air temperature###dew point temperature###water temperature###wind speed/wind direction###air pressure###dew point###water temperature - surface###wind speed###wind gust###wind from direction###NDBC ID 45027###GLOS###LLO1###buoys###waves###observations###atmospheric pressure###air temperature###dew point temperature###water temperature###wind speed/wind direction###Lake Superior###Duluth###MN###Great Lakes###Longitude -91.930###Latitude 46.860###Lake Superior###Duluth, MN###Great Lakes###observationsBuoys###climatology###temperature###WindDirection###WindSpeed###AirTemperature###Dew Point###Wind Gust###Air Pressure###Solar Radiation###WaterTemperature###WaterTemperature @   3 ft###WaterTemperature @  10 ft###WaterTemperature @  16 ft###WaterTemperature @  33 ft###WaterTemperature @  49 ft###WaterTemperature @  66 ft###WaterTemperature @  82 ft###WaterTemperature @  98 ft###WaterTemperature @ 115 ft###WaterTemperature @ 131 ft","-91.93###-91.93###46.86###46.86","2011-05-23","http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=29e56631-24dd-4407-abb5-7100f1304337&fname=45027_sm_s.png###http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=29e56631-24dd-4407-abb5-7100f1304337&fname=45027.png","Jay AustinUniversity of Minnesota-Duluthmailto:jaustin@d.umn.eduhttp://www.d.umn.edu/~jaustin/UMD_buoys/###Kathy KochLimnoTech / GLOSData Curator734-332-1200Ann ArborMIUSAkkoch@limno.com","###http://www.d.umn.edu/~jaustin/UMD_buoys/######http://www.ndbc.noaa.gov/station_page.php?station=45027######http://data.glos.us/portal/getObsByPlatform.php?provider=glos&platform=UMD+Coastal+Buoy######http://data.glos.us/metadata?uuid=29e56631-24dd-4407-abb5-7100f1304337","2018-10-09T16:45:58","",
