schema,uuid,id,title,abstract,keyword,link,responsibleParty,metadatacreationdate,geoBox,image,LegalConstraints,temporalExtent,parentId,datasetcreationdate,Constraints,SecurityConstraints
 iso19139,4f4e4a9be4b07f02db65dd2e,1355,Developmental rate and behavior of early life stages of bighead carp and silver carp,"The early life stages of Asian carp are well described by Yi and others (1988), but since these descriptions are represented by line drawings based only on live individuals and lacked temperature controls, further information on developmental time and stages is of use to expand understanding of early life stages of these species. Bighead carp and silver carp were cultured under two different temperature treatments to the one-chamber gas bladder stage, and a photographic guide is provided for bighead carp and silver carp embryonic and larval development, including notes about egg morphology and larval swimming behavior. Preliminary information on developmental time and hourly thermal units for each stage is also provided. Both carp species developed faster under warmer conditions. Developmental stages and behaviors are generally consistent with earlier works with the exception that strong vertical swimming immediately after hatching was documented in this report.",Scientific Investigations Report, https://www.sciencebase.gov/catalog/item/4f4e4a9be4b07f02db65dd2e  http://pubs.er.usgs.gov/publication/sir20115076  https://pubs.usgs.gov/sir/2011/5076/pdf/SIR11-5076_full_report.pdf  https://pubs.usgs.gov/sir/2011/5076/pdf/sir11-5076_body-only.pdf  https://www.sciencebase.gov/catalog/file/get/4f4e4a9be4b07f02db65dd2e,Duane C. Chapmandchapman@usgs.gov Amy E. Georgeageorge@usgs.gov U.S. Geological Survey,2018-07-12T06:55:50Z,,,,,,,,
 iso19139,50e557e7e4b0a4aa5bb02c02,1291,Trophic transfer efficiency of methylmercury and inorganic mercury to lake trout <i>Salvelinus namaycush</i> from its prey,"Based on a laboratory experiment, we estimated the net trophic transfer efficiency of methylmercury to lake trout <i>Salvelinus namaycush</i> from its prey to be equal to 76.6 %. Under the assumption that gross trophic transfer efficiency of methylmercury to lake trout from its prey was equal to 80 %, we estimated that the rate at which lake trout eliminated methylmercury was 0.000244 day<sup>−1</sup>. Our laboratory estimate of methylmercury elimination rate was 5.5 times lower than the value predicted by a published regression equation developed from estimates of methylmercury elimination rates for fish available from the literature. Thus, our results, in conjunction with other recent findings, suggested that methylmercury elimination rates for fish have been overestimated in previous studies. In addition, based on our laboratory experiment, we estimated that the net trophic transfer efficiency of inorganic mercury to lake trout from its prey was 63.5 %. The lower net trophic transfer efficiency for inorganic mercury compared with that for methylmercury was partly attributable to the greater elimination rate for inorganic mercury. We also found that the efficiency with which lake trout retained either methylmercury or inorganic mercury from their food did not appear to be significantly affected by the degree of their swimming activity.",Archives of Environmental Contamination and Toxicology, https://www.sciencebase.gov/catalog/item/50e557e7e4b0a4aa5bb02c02  http://pubs.er.usgs.gov/publication/70042017  https://www.sciencebase.gov/catalog/file/get/50e557e7e4b0a4aa5bb02c02,C.P. Madenijian S.R. David D.P. Krabbenhoft Springer,2018-07-12T06:39:34Z,,,,,,,,
 iso19139,5459ea9fe4b009f8aec96fb4,1192,Diet of <i>Mysis diluviana</i> reveals seasonal patterns of omnivory and consumption of invasive species in offshore Lake Michigan," Recent changes in Lake Michigan’s lower trophic levels were hypothesized to have influenced the diet of omnivorous Mysis diluviana. In this study, the stomach contents of Mysis were examined from juvenile and adults collected monthly (April–October) from a 110-m bottom depth site to describe their seasonal diet in LakeMichigan during 2010. Diatoms were the most common prey item ingested, followed by calanoid copepods, and chrysophytes. Dreissenid veligers were documented in mysid diets for the first time in the Great Lakes, and Cercopagis pengoi were not only consumed but even preferred by adults in summer. Diet proportions by weight were dominated by calanoids, although diets showed a marked shift toward cladocerans in autumn. Juvenile and adult Mysis selected primarily for cladoceran prey but also selected for some calanoid copepod taxa. Comparing available Mysis diet data from 1985 to 2010 indicated generally fewer cladocerans and rotifers per gut and less consistent differences in copepods and Peridinium consumed. The seasonal composition of phyto- and zooplankton prey documented herein should be useful to those seeking to understand the trophic role of Mysis in offshore food webs, but caution should be expressed when generalizing similarities in Mysis diets across other lakes because Lake Michigan’s population seems relatively more herbivorous. ",Journal of Plankton Research, https://www.sciencebase.gov/catalog/item/5459ea9fe4b009f8aec96fb4  http://pubs.er.usgs.gov/publication/70131498  https://www.sciencebase.gov/catalog/file/get/5459ea9fe4b009f8aec96fb4,Brian P. O'Malleybomalley@usgs.gov David B. Bunnelldbunnell@usgs.gov Oxford University Press,2018-07-12T06:05:06Z,,,,,,,,
 iso19139,565d8140e4b071e7ea543485,1358,Use of stable isotope signatures to determine mercury sources in the Great Lakes,"  Sources of mercury (Hg) in Great Lakes sediments were assessed with stable Hg isotope ratios using multicollector inductively coupled plasma mass spectrometry. An isotopic mixing model based on mass-dependent (MDF) and mass-independent fractionation (MIF) (δ <sup> 202 </sup> Hg and Δ <sup> 199 </sup> Hg) identified three primary Hg sources for sediments: atmospheric, industrial, and watershed-derived. Results indicate atmospheric sources dominate in Lakes Huron, Superior, and Michigan sediments while watershed-derived and industrial sources dominate in Lakes Erie and Ontario sediments. Anomalous Δ <sup> 200 </sup> Hg signatures, also apparent in sediments, provided independent validation of the model. Comparison of Δ <sup> 200 </sup> Hg signatures in predatory fish from three lakes reveals that bioaccumulated Hg is more isotopically similar to atmospherically derived Hg than a lake’s sediment. Previous research suggests Δ <sup> 200 </sup> Hg is conserved during biogeochemical processing and odd mass-independent fractionation (MIF) is conserved during metabolic processing, so it is suspected even is similarly conserved. Given these assumptions, our data suggest that in some cases, atmospherically derived Hg may be a more important source of MeHg to higher trophic levels than legacy sediments in the Great Lakes.  ",Environmental Science & Technology Letters, https://www.sciencebase.gov/catalog/item/565d8140e4b071e7ea543485  http://pubs.er.usgs.gov/publication/70159807  https://www.sciencebase.gov/catalog/file/get/565d8140e4b071e7ea543485,Ryan F. Lepakrlepak@usgs.gov Runsheng Yin David P. Krabbenhoftdpkrabbe@usgs.gov Jacob M. Ogorekjmogorek@usgs.gov John F. DeWildjfdewild@usgs.gov Thomas M. Holsen James P. Hurley American Chemical Society,2018-07-12T05:47:24Z,,,,,,,,
 iso19139,54dd2aa8e4b08de9379b316c,1322,Relationships between land cover and dissolved organic matter change along the river to lake transition,"  Dissolved organic matter (DOM) influences the physical, chemical, and biological properties of aquatic ecosystems. We hypothesized that controls over spatial variation in DOM quantity and composition (measured with DOM optical properties) differ based on the source of DOM to aquatic ecosystems. DOM quantity and composition should be better predicted by land cover in aquatic habitats with allochthonous DOM and related more strongly to nutrients in aquatic habitats with autochthonous DOM. Three habitat types [rivers (R), rivermouths (RM), and the nearshore zone (L)] associated with 23 tributaries of the Laurentian Great Lakes were sampled to test this prediction. Evidence from optical indices suggests that DOM in these habitats generally ranged from allochthonous (R sites) to a mix of allochthonous-like and autochthonous-like (L sites). Contrary to expectations, DOM properties such as the fluorescence index, humification index, and spectral slope ratio were only weakly related to land cover or nutrient data (Bayesian&nbsp; <i>R</i> &nbsp;  2  &nbsp;values were indistinguishable from zero). Strongly supported models in all habitat types linked DOM quantity (that is, dissolved organic carbon concentration [DOC]) to both land cover and nutrients (Bayesian&nbsp; <i>R</i> 2  &nbsp;values ranging from 0.55 to 0.72). Strongly supported models predicting DOC changed with habitat type: The most important predictor in R sites was wetlands whereas the most important predictor at L sites was croplands. These results suggest that as the DOM pool becomes more autochthonous-like, croplands become a more important driver of spatial variation in DOC and wetlands become less important.  ",Ecosystems, https://www.sciencebase.gov/catalog/item/54dd2aa8e4b08de9379b316c  http://pubs.er.usgs.gov/publication/70137838  https://www.sciencebase.gov/catalog/file/get/54dd2aa8e4b08de9379b316c,James H. Larsonjhlarson@usgs.gov Paul C. Frost Marguerite A. Xenopoulos Clayton J. Williams Ana M. Morales-Williams Jonathan M. Vallazzajvallazza@usgs.gov J. C. Nelsonjcnelson@usgs.gov William B. Richardsonwrichardson@usgs.gov Springer,2018-07-12T06:04:45Z,,,,,,,,
 iso19139,51c95c5ae4b0a50a6e8f57b0,1234,Location and timing of Asian carp spawning in the Lower Missouri River,"  We sampled for eggs of Asian carps, (bighead carp  <i>Hypophthalmichthys nobilis,</i>  silver carp  <i>H. molitrix</i> , and grass carp  <i>Ctenopharyngodon idella</i> ) in 12 sites on the Lower Missouri River and in six tributaries from the months of May through July 2005 and May through June 2006 to examine the spatial and temporal dynamics of spawning activity. We categorized eggs into thirty developmental stages, but usually they could not be identified to species. We estimated spawning times and locations based on developmental stage, temperature dependent rate of development and water velocity. Spawning rate was higher in the daytime between 05:00 and 21:00&nbsp;h than at night. Spawning was not limited to a few sites, as has been reported for the Yangtze River, where these fishes are native, but more eggs were spawned in areas of high sinuosity. We employ a sediment transport model to estimate vertical egg concentration profiles and total egg fluxes during spawning periods on the Missouri River. We did not identify substantial spawning activity within tributaries or at tributary confluences examined in this study.  ",Environmental Biology of Fishes, https://www.sciencebase.gov/catalog/item/51c95c5ae4b0a50a6e8f57b0  http://pubs.er.usgs.gov/publication/70045101  https://www.sciencebase.gov/catalog/file/get/51c95c5ae4b0a50a6e8f57b0,Joseph E. Detersjdeters@usgs.gov Duane C. Chapmandchapman@usgs.gov Brandon McElroy Springer,2018-07-12T06:18:01Z,-96.63 -90.06 38.44 42.6,,,,,,,
 iso19139,57bdd0a2e4b03fd6b7df585a,1257,Identify emerging contaminants and assess impacts on wildlife," Key Findings  <ul> <li>Tree swallows were sampled at 6 locations in the Maumee River watershed, as part of a collaborative four-agency study on ecosystem effects of contaminants of emerging concern (CECs) on biota.&nbsp; This study involved samples of sediment, benthic invertebrates, and an insectivorous bird, the tree swallow.</li> <li>Endpoints include assessment of changes in both the tree swallow metabolome and transcriptome to determine whether perturbations can be traced from ToxCaste, an in vitro water sample assessment through mussels/clams, fish, and birds.</li> <li>Avian tissues and food will be analyzed for CECs with an emphasis on agricultural pesticides.&nbsp; Other Great Lakes’ landscape types will be sampled in future years.</li> </ul>  Products  <ul> <li>Peer-reviewed publications will be prepared at the conclusion of the study.</li> </ul>",tree swallows Location: Maumee River contaminants CEC Sediment benthic invertebrate Avian tissues Template 673 Template 725, https://www.sciencebase.gov/catalog/item/57bdd0a2e4b03fd6b7df585a  http://cida.usgs.gov/glri/#/Browse/all/57bdd0a2e4b03fd6b7df585a  https://www.sciencebase.gov/catalog/oai-pmh?verb=ListRecords&metadataPrefix=fgdc-orig&set=57bdd0a2e4b03fd6b7df585a  https://www.sciencebase.gov/catalog/item/57bdd0a2e4b03fd6b7df585a/csw?service=CSW&version=2.0.2&request=GetRecords,Christine M CusterRESEARCH WILDLIFE BIOLOGIST608781624760878360662630 Fanta Reed RoadLA CrosseWI54603ccuster@usgs.govhttps://www.sciencebase.gov/directory/person/2255,2016-09-29T17:56:38Z,,,,,,,,
 iso19139,53598191e4b0031b2f4a0720,1256,Building local capacity to address nonpoint source problems, Description of Work  U.S. Geological Survey (USGS) provided a one-week training course for ''Geomorphic Analysis of Fluvial Systems'' to U.S. Environmental Protection Agency and other state and local agencies in Chicago. This provided an introduction to the concepts of how stream channels change over time due to natural and human-caused changes in the watershed. This training assisted managers in understanding the goals and limits of stream restoration specific to Great Lakes streams. Much of the training centered on sediment movement in channels and also was applicable to EPA managers working on clean-sediment TMDLs and nutrient-sediment interactions. <br /> &nbsp;,Streams Training Geomorphology River adjustments Erosion Hydraulics Sediment transport Sedimentation Great Lakes Restoration Initiative GLRI Deposition Ecosystem health Impaired waters/TMDLs Priority watersheds Regional Assessment Beneficial use impairment Climate change Nearshore Health Uploaded in Batch Template 137 Great Lakes Restoration Initiative, https://www.sciencebase.gov/catalog/item/53598191e4b0031b2f4a0720  http://cida.usgs.gov/glri/#/Browse/fanh/53598191e4b0031b2f4a0720,"Faith A FitzpatrickResearch Hydrologist60882138178505 Research Way,Middleton53562-0000fafitzpa@usgs.govhttps://www.sciencebase.gov/directory/person/3235 John F WalkerResearch Hydrologist60882138178505 Research WayMiddletonWI53562-0000USjfwalker@usgs.govhttps://www.sciencebase.gov/directory/person/10864 USGS Wisconsin Water Science Center8551 Research WayMiddletonWI53562-0000USAhttps://www.sciencebase.gov/directory/organization/17285",2014-12-04T22:34:20Z,-93.28344726 -75.52954101 40.86835632 49.25750104,,,,,,,
 iso19139,505a47e1e4b0c8380cd67a5a,1328,"Links between type E botulism outbreaks, lake levels, and surface water temperatures in Lake Michigan, 1963-2008"," Relationships between large-scale environmental factors and the incidence of type E avian botulism outbreaks in Lake Michigan were examined from 1963 to 2008. Avian botulism outbreaks most frequently occurred in years with low mean annual water levels, and lake levels were significantly lower in outbreak years than in non-outbreak years. Mean surface water temperatures in northern Lake Michigan during the period when type E outbreaks tend to occur (July through September) were significantly higher in outbreak years than in non-outbreak years. Trends in fish populations did not strongly correlate with botulism outbreaks, although botulism outbreaks in the 1960s coincided with high alewife abundance, and recent botulism outbreaks coincided with rapidly increasing round goby abundance. Botulism outbreaks occurred cyclically, and the frequency of outbreaks did not increase over the period of record. Climate change scenarios for the Great Lakes predict lower water levels and warmer water temperatures. As a consequence, the frequency and magnitude of type E botulism outbreaks in the Great Lakes may increase. ",Journal of Great Lakes Research, https://www.sciencebase.gov/catalog/item/505a47e1e4b0c8380cd67a5a  http://pubs.er.usgs.gov/publication/70035702  https://www.sciencebase.gov/catalog/file/get/505a47e1e4b0c8380cd67a5a,Brenda Moraska Lafrancois Stephen C. Riley David S. Blehertdblehert@usgs.gov Anne E. Ballmannaballmann@usgs.gov International Association for Great Lakes Research,2018-07-12T06:58:31Z,-88 -84.9 41.6 46,,,,,,,
 iso19139,512741ffe4b07fa41a6044d2,1303,Comparison of filters for concentrating microbial indicators and pathogens in lake-water samples," Bacterial indicators are used to indicate increased health risk from pathogens and to make beach closure and advisory decisions; however, beaches are seldom monitored for the pathogens themselves. Studies of sources and types of pathogens at beaches are needed to improve estimates of swimming-associated health risks. It would be advantageous and cost-effective, especially for studies conducted on a regional scale, to use a method that can simultaneously filter and concentrate all classes of pathogens from the large volumes of water needed to detect pathogens. In seven recovery experiments, stock cultures of viruses and protozoa were seeded into 10-liter lake water samples, and concentrations of naturally occurring bacterial indicators were used to determine recoveries. For the five filtration methods tested, the highest median recoveries were as follows: glass wool for adenovirus (4.7%); NanoCeram for enterovirus (14.5%) and MS2 coliphage (84%); continuous-flow centrifugation (CFC) plus Virocap (CFC+ViroCap) for <i>Escherichia coli</i> (68.3%) and <i>Cryptosporidium</i> (54%); automatic ultrafiltration (UF) for norovirus GII (2.4%); and dead-end UF for <i>Enterococcus faecalis</i> (80.5%), avian influenza virus (0.02%), and <i>Giardia</i> (57%). In evaluating filter performance in terms of both recovery and variability, the automatic UF resulted in the highest recovery while maintaining low variability for all nine microorganisms. The automatic UF was used to demonstrate that filtration can be scaled up to field deployment and the collection of 200-liter lake water samples. ",Applied and Environmental Microbiology, https://www.sciencebase.gov/catalog/item/512741ffe4b07fa41a6044d2  http://pubs.er.usgs.gov/publication/70043711  https://www.sciencebase.gov/catalog/file/get/512741ffe4b07fa41a6044d2,Donna S. Francydsfrancy@usgs.gov Erin A. Stelzereastelzer@usgs.gov Amie M.G. Brady Carrie Huitger Rebecca N. Bushonrnbushon@usgs.gov Hon S. Iphip@usgs.gov Michael W. Ware Eric N. Villegas Vincent Gallardo H.D. Alan Lindquist American Society for Microbiology,2018-07-12T06:19:21Z,,,,,,,,
